"","Lifestage","network_ID","Ha_perc","v1_perc","total_ticks","Agent","day_of_year","season"
"1","Adult",1,0,9.27454119965513,24357,"Tick",78,"spring"
"2","Adult",2,0,0,182664,"Tick",78,"spring"
"3","Adult",3,5.79214648974104,0,1368560,"Tick",78,"spring"
"4","Adult",4,8.24340505284139,0,134459,"Tick",78,"spring"
"5","Adult",5,0,0,70059,"Tick",78,"spring"
"6","Adult",6,0,0,50675,"Tick",78,"spring"
"7","Adult",7,6.52733729093817,2.00048792388387,73782,"Tick",78,"spring"
"8","Adult",8,8.21771357977763,1.00019005986886,210460,"Tick",78,"spring"
"9","Nymph",2,0,0,60612,"Tick",78,"spring"
"10","Nymph",4,0,0,3422,"Tick",78,"spring"
"11","Nymph",5,0,3.97947864669994,245208,"Tick",78,"spring"
"12","Nymph",6,0,0.570394408387419,80120,"Tick",78,"spring"
"13","Nymph",7,0.167079009092954,5.74280542792576,93369,"Tick",78,"spring"
"14","Nymph",8,0,0,85736,"Tick",78,"spring"
